material,description,supplier,country_of_origin,unit_cost_eur,margin_pct,inventory_on_hand,safety_stock,avg_daily_demand,lead_time_days,shelf_life_days,days_on_hand,expected_price_change_pct,sole_source,incoterm,in_transit_units,in_transit_arrival_days
API001,Intermediate API,Lupin China,CN,436.37,49.9,187,211,2.8,88,609,67.1,5.7,N,CFR,58,58
API002,Bulk API,Esteve,ES,299.56,18.2,968,1260,16.7,62,1064,58.0,2.7,N,FCA,153,31
API003,Sterile API,Merck KGaA,DE,357.37,52.2,1753,1013,19.4,38,642,90.4,0.9,Y,FCA,115,27
API004,Micronized API,Pfizer CentreOne,US,190.56,56.6,1577,770,16.3,43,615,96.8,2.1,N,DAP,0,0
API005,Crystalline Form,Hutchison MediPharma,CN,367.32,54.0,2008,372,9.7,57,900,207.0,7.7,N,CFR,116,38
API006,Bulk API,Croda International,GB,63.87,36.8,238,414,5.1,45,571,46.7,-0.2,N,DDP,0,0
API007,Sterile API,Aurobindo Pharma,IN,402.75,48.2,573,348,8.7,75,588,65.9,6.6,N,CFR,70,40
API008,Intermediate API,Aurobindo Pharma,IN,221.46,30.1,93,458,13.0,41,1059,7.2,9.0,N,CFR,66,39
API009,Intermediate API,Zhejiang Huahai,CN,252.21,28.6,89,160,2.8,82,705,31.8,3.8,N,FOB,72,63
API010,Crystalline Form,Esteve,ES,312.84,47.5,283,84,2.6,45,718,109.0,-1.4,Y,FCA,28,11
API011,Intermediate API,Sumitomo,JP,206.09,44.5,115,82,1.4,86,584,82.8,0.9,N,DAP,0,0
API012,Intermediate API,Zhejiang Hisun,IN,170.14,31.6,1107,341,10.9,47,1023,101.6,7.5,Y,CFR,50,33
API013,Bulk API,DSM,NL,377.15,53.4,152,131,3.0,83,839,50.9,3.0,N,EXW,75,29
API014,Crystalline Form,Caldic BV,NL,165.18,61.8,176,230,4.1,17,1021,43.1,3.3,N,EXW,22,11
API015,Sterile API,Solvay,BE,347.75,33.7,124,128,2.8,70,670,44.4,3.0,Y,DAP,0,0
API016,Crystalline Form,BASF SE,DE,443.55,24.8,516,609,6.9,73,617,74.9,-0.6,Y,EXW,66,51
API017,Active Ingredient,Bayer,DE,362.42,44.1,200,350,4.8,75,610,41.8,3.6,Y,EXW,71,26
API018,Sterile API,Cipla Bulk,IN,178.9,61.2,71,102,1.5,56,615,47.9,11.7,N,CIF,15,52
API019,Active Ingredient,Lupin China,CN,403.14,15.9,66,241,3.1,77,826,21.3,10.7,N,CFR,43,34
API020,Crystalline Form,Ercros,ES,440.37,37.7,2270,426,5.7,31,596,398.3,1.6,Y,FCA,24,26
API021,Micronized API,UCB,BE,464.44,23.3,441,236,6.4,25,569,69.0,-1.7,Y,FCA,39,18
API022,Crystalline Form,Janssen,BE,443.75,57.6,229,79,1.8,27,848,127.3,-1.7,N,DAP,0,0
API023,Crystalline Form,UCB,BE,95.75,56.7,396,71,2.0,84,1027,198.4,2.8,N,EXW,49,55
API024,Crystalline Form,Evonik,DE,281.4,57.9,807,670,9.8,43,615,82.4,0.5,N,DAP,0,0
API025,Intermediate API,AkzoNobel,NL,214.88,31.4,881,392,8.2,66,1034,107.5,-0.0,N,EXW,126,56
API026,Crystalline Form,Lupin China,CN,334.81,29.4,1053,1075,15.0,29,871,70.2,9.3,Y,CFR,41,27
API027,Bulk API,DSM,DE,410.4,44.7,1205,1379,15.9,74,858,75.8,1.7,Y,DAP,0,0
API028,Crystalline Form,Aurobindo Pharma,IN,259.69,41.1,362,922,15.5,74,1042,23.4,3.2,Y,CIF,108,50
API029,Active Ingredient,Esteve,ES,352.05,31.7,966,836,18.1,71,709,53.4,-1.1,Y,DAP,0,0
API030,Intermediate API,Esteve,ES,378.36,42.6,1415,1104,18.8,73,1072,75.3,3.7,N,DAP,0,0
API031,Bulk API,Bayer,DE,336.68,21.1,1314,375,12.2,66,985,107.7,0.8,N,DAP,0,0
API032,Sterile API,Janssen,BE,401.58,20.5,1721,935,19.9,80,597,86.5,2.0,N,EXW,417,11
API033,Sterile API,Eternal Materials,US,158.37,22.2,1390,1337,15.8,29,559,88.0,2.5,Y,FCA,115,24
API034,Active Ingredient,DuPont,US,410.43,61.4,1150,1260,15.7,67,607,73.3,9.5,N,FCA,270,57
API035,Intermediate API,DSM,DE,136.87,28.5,1229,967,14.5,88,872,84.8,3.3,Y,DAP,0,0
API036,Active Ingredient,Evonik,DE,132.59,64.0,807,661,9.7,73,618,83.2,-0.2,N,EXW,173,52
API037,Sterile API,Cipla Bulk,IN,116.8,40.4,667,323,8.7,50,690,76.7,6.3,N,FOB,109,33
API038,Bulk API,Ercros,ES,314.74,30.9,174,99,1.7,45,849,102.6,2.2,N,DAP,0,0
API039,Micronized API,Cipla Bulk,IN,192.3,54.4,1595,770,11.4,46,816,139.9,10.9,N,CFR,124,25
API040,Bulk API,Lupin China,CN,426.82,39.7,269,257,3.2,19,691,84.2,3.7,N,CIF,8,15
API041,Intermediate API,Merck KGaA,DE,435.45,33.6,19,145,3.9,59,1057,5.0,2.6,N,DAP,0,0
API042,Micronized API,Dr Reddy's,IN,224.53,47.0,110,73,1.2,29,629,91.7,11.9,N,CIF,6,25
API043,Active Ingredient,Formosa Plastics,TW,251.71,34.6,285,140,2.5,71,621,114.1,3.4,N,FOB,19,20
API044,Micronized API,DSM,NL,313.9,39.7,211,209,2.6,32,890,81.2,2.6,N,EXW,9,14
API045,Sterile API,Janssen,BE,267.16,53.4,965,1454,17.2,52,999,56.2,1.0,N,DAP,0,0
API046,Crystalline Form,Croda International,GB,229.35,60.9,1215,654,13.0,27,553,93.5,0.7,N,FCA,62,18
API047,Micronized API,DSM,NL,335.2,64.1,1076,968,12.8,50,929,84.1,2.7,N,FCA,202,10
API048,Sterile API,Hutchison MediPharma,CN,298.9,47.7,2338,917,19.4,88,944,120.5,3.2,N,CFR,148,69
API049,Sterile API,Alpek Polyester,MX,259.24,63.9,521,308,8.8,74,973,59.3,2.9,N,FCA,71,30
API050,Micronized API,BASF SE,DE,370.97,53.7,1410,1358,17.4,70,666,81.0,3.1,N,DAP,0,0
API051,Intermediate API,DSM,DE,354.78,16.5,421,604,8.6,82,1000,49.0,3.1,N,EXW,123,50
API052,Sterile API,AkzoNobel,NL,134.42,19.2,947,588,7.5,68,700,126.3,-1.2,N,EXW,124,67
API053,Intermediate API,Divi's Labs,IN,226.57,60.8,493,539,10.4,24,649,47.4,6.5,Y,CFR,46,11
API054,Micronized API,LG Chem,KR,293.39,29.2,1566,891,18.0,31,825,87.1,7.9,N,FOB,146,12
API055,Micronized API,DSM,NL,119.95,58.7,453,496,6.4,56,776,70.8,4.0,N,FCA,96,46
API056,Bulk API,Hutchison MediPharma,CN,302.98,20.1,922,814,13.4,86,559,68.9,3.0,N,CFR,100,24
API057,Active Ingredient,DSM,DE,282.24,30.6,202,106,2.0,22,917,101.2,-0.2,N,EXW,8,12
API058,Sterile API,BASF SE,DE,50.55,40.4,682,575,10.3,39,994,66.2,-0.1,N,EXW,64,21
API059,Micronized API,Dr Reddy's,IN,198.83,61.5,145,138,1.9,49,565,76.5,11.2,Y,CIF,7,13
API060,Crystalline Form,BASF SE,DE,158.74,43.5,1198,369,12.2,78,874,98.3,2.6,Y,DAP,0,0
API061,Crystalline Form,DuPont,US,463.46,37.7,649,646,12.5,88,711,52.0,8.0,N,FCA,169,39
API062,Active Ingredient,Bayer,DE,205.92,16.0,484,297,4.1,69,711,118.2,1.6,N,DAP,0,0
